NAME,AltNames,Notes,Families,Density,Density U,LHV,LHV U,HHV,HHV U,MarketVal,MarketVal U,Cratio(Mass),Sratio(Mass),IsPrimary,MemberGroups,OptionalID
"Electricity, at grid, US, 2000",,,,,,,,,,,,,,,,
"Electricity, at cogen, for natural gas turbine",,,,,,,,,,,,,,,,
"Natural gas, combusted in industrial boiler",,,,,,,,,,,,,,,,
"Natural gas, processed, at plant",,,,,,,,,,,,,,,,
"Methanol, at plant",,,,,,,,,,,,,,,,
"Dummy, Transport, pipeline, natural gas",,Represents inbound transport of processed natural gas. Original data expressed thus: 500 tonmiles/1000lb natural gas,,,,,,,,,,,,,,
"Transport, combination truck, diesel powered",,Represents inbound transport of processed natural gas. Original data expressed thus: 5 tonmiles/1000lb natural gas,,,,,,,,,,,,,,
"Transport, train, diesel powered",,Represents inbound transport of processed natural gas. Original data expressed thus: 5 tonmiles/1000lb natural gas,,,,,,,,,,,,,,
"Transport, barge, diesel powered",,Represents inbound transport of methanol,,,,,,,,,,,,,,
"Transport, barge, residual fuel oil powered",,Represents inbound transport of methanol,,,,,,,,,,,,,,
"Dummy, Transport, pipeline, unspecified",,Represents inbound transport of methanol,,,,,,,,,,,,,,
"Dummy, Disposal, solid waste, unspecified, to sanitary landfill",,,,,,,,,,,,,,,,
air->unspecified:Ammonia,,,,,,,,,,,,,,,,
air->unspecified:Carbon dioxide,,,,,,,,,,,,,,,,
air->unspecified:Carbon monoxide,,,,,,,,,,,,,,,,
air->unspecified:Methanol,,,,,,,,,,,,,,,,
"air->unspecified:TOC, Total Organic Carbon",,,,,,,,,,,,,,,,
"water->unspecified:Acids, unspecified",,,,,,,,,,,,,,,,
water->unspecified:Ammonia,,,,,,,,,,,,,,,,
"Acetic acid, at plant",,,,,,,,,,,,,,,,
"Recovered energy, at acetic acid production",,,,,,,,,,,,,,,,
