UnitProcess,Pathway,Stream,Quantiy,Unit,CoProdType,AllocationType,DisplacedPorM,DisplacedPorMId,DisplacementPorMShare,TechId,TechShare
"Acrylonitrile, at plant",,"resource->unspecified:Coal, lignite, in ground",-0.017687,kg,,,,,,,,
"Acrylonitrile, at plant",,"resource->unspecified:Coal, unprocessed bituminous, in ground",-0.18398,kg,,,,,,,,
"Acrylonitrile, at plant",,"resource->unspecified:Energy, from biomass",-0.0037481,MJ,,,,,,,,
"Acrylonitrile, at plant",,"resource->unspecified:Energy, from hydro power",-0.17284,MJ,,,,,,,,
"Acrylonitrile, at plant",,"resource->unspecified:Energy, geothermal",-0.0090958,MJ,,,,,,,,
"Acrylonitrile, at plant",,"resource->unspecified:Energy, kinetic (in wind), converted",-0.0090003,MJ,,,,,,,,
"Acrylonitrile, at plant",,"resource->unspecified:Energy, solar",-0.00038198,MJ,,,,,,,,
"Acrylonitrile, at plant",,"resource->unspecified:Energy, unspecified",-0.012182,MJ,,,,,,,,"Energy unspecified reflects ""other fossil"" fuels"
"Acrylonitrile, at plant",,"resource->unspecified:Gas, natural, in ground ",-0.77769,kg,,,,,,,,This flow represents the amount of natural gas that is a material input for producing the resin output. The energy content of the natural gas used as EMR/feedstock is 49.8 MJ per kg.  The energy content multiplied by the mass should be considered an Energy of Material Resource (EMR)/feedstock energy. 
"Acrylonitrile, at plant",,"resource->unspecified:Gas, natural, in ground ",-0.5519,m3,,,,,,,,This flow represents the amount of natural gas that is used for fuel.  The energy content of the natural gas used for fuel is 36.7 MJ per m3.
"Acrylonitrile, at plant",,"resource->unspecified:Oil, crude, in ground ",-0.37096,kg,,,,,,,,This flow represents the amount of crude oils that is a material input for producing the resin output.  The energy content of the crude oil used as EMR/feedstock is 43.7 MJ per kg.  The energy content multiplied by the mass should be considered an Energy of Material Resource (EMR)/feedstock energy. 
"Acrylonitrile, at plant",,"resource->unspecified:Oil, crude, in ground",-0.10763,kg,,,,,,,,This flow represents the amount of crude oil that is used for fuel.  The energy content of the crude oil used for fuel is 43.7 MJ per kg.
"Acrylonitrile, at plant",,"resource->unspecified:Oxygen, in air",-1.19,kg,,,,,,,,
"Acrylonitrile, at plant",,"resource->unspecified:Nitrogen, in air",-0.18774,kg,,,,,,,,
"Acrylonitrile, at plant",,"resource->unspecified:Salt, unspecified",-0.010777,kg,,,,,,,,
"Acrylonitrile, at plant",,"resource->unspecified:Uranium oxide, 332 GJ per kg, in ore",-4.5087E-06,kg,,,,,,,,
"Acrylonitrile, at plant",,"Dummy_Disposal, solid waste, fuel, to municipal incineration",-0.078415,kg,,,,,,,,
"Acrylonitrile, at plant",,"Dummy_Disposal, solid waste,process, to municipal incineration",-0.0072768,kg,,,,,,,,
"Acrylonitrile, at plant",,"Dummy_Disposal, solid waste, process, to sanitary landfill",-0.030274,kg,,,,,,,,
"Acrylonitrile, at plant",,"Dummy_Disposal, solid waste, process, to waste-to-energy",-4.3032E-06,kg,,,,,,,,
"Acrylonitrile, at plant",,"water->unspecified:Water, consumptive use, unspecified origin/m3",-0.010777,m3,,,,,,,,"Franklin Associates uses a default as opposed to Egalitarian approach in collecting data for water use. During data collection, water use data were only requested and compiled in terms of 'evaporative' or consumptive use (i.e., ultimate withdraws, evaporation, or incorporation into the product). Data were not collected to determine reliable averages for non-evaporative water use. In other words, averages for water inputs and outputs are not available for this unit process.  Consumptive use includes: water incorporated into the product, water evaporated during the process, and/or water used and released to a body other than that from which it was drawn."
"Acrylonitrile, at plant",,air->unspecified:2-Chloroacetophenone,2.9464E-13,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:5-methyl Chrysene,1.8977E-12,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Acenaphthene,4.3991E-11,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Acenaphthylene,2.1565E-11,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Acetaldehyde,1.5389E-08,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Acetophenone,6.3138E-13,kg,,,,,,,,
"Acrylonitrile, at plant",,"air->unspecified:Aldehydes, unspecified",8.2784E-08,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Ammonia,0.0004487,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Ammonium chloride,2.393E-07,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Anthracene,1.8114E-11,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Antimony,2.4793E-09,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Arsenic,4.0177E-08,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Benzene,0.00010963,kg,,,,,,,,
"Acrylonitrile, at plant",,"air->unspecified:Benzene, chloro-",9.2602E-13,kg,,,,,,,,
"Acrylonitrile, at plant",,"air->unspecified:Benzene, ethyl-",1.3623E-05,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Benzo(a)anthracene,6.9006E-12,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Benzo(a)pyrene,3.2778E-12,kg,,,,,,,,
"Acrylonitrile, at plant",,"air->unspecified:Benzo(b,j,k)fluoranthene",9.4884E-12,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Benzo(ghi)perylene,2.329E-12,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Benzyl chloride,2.9464E-11,kg,,,,,,,,
"Acrylonitrile, at plant",,air->unspecified:Beryllium,2.1385E-09,kg,,,,,,,,
