NAME,AltNames,Notes,Families,Density,Density U,LHV,LHV U,HHV,HHV U,MarketVal,MarketVal U,Cratio(Mass),Sratio(Mass),IsPrimary,MemberGroups,OptionalID
"resource->unspecified:Coal, lignite, in ground",,,,,,,,,,,,,,,,
"resource->unspecified:Coal, unprocessed bituminous, in ground",,,,,,,,,,,,,,,,
"resource->unspecified:Energy, from biomass",,,,,,,,,,,,,,,,
"resource->unspecified:Energy, from hydro power",,,,,,,,,,,,,,,,
"resource->unspecified:Energy, geothermal",,,,,,,,,,,,,,,,
"resource->unspecified:Energy, kinetic (in wind), converted",,,,,,,,,,,,,,,,
"resource->unspecified:Energy, solar",,,,,,,,,,,,,,,,
"resource->unspecified:Energy, unspecified",,"Energy unspecified reflects ""other fossil"" fuels",,,,,,,,,,,,,,
"resource->unspecified:Gas, natural, in ground ",,This flow represents the amount of natural gas that is a material input for producing the resin output. The energy content of the natural gas used as EMR/feedstock is 49.8 MJ per kg.  The energy content multiplied by the mass should be considered an Energy of Material Resource (EMR)/feedstock energy. ,,,,,,,,,,,,,,
"resource->unspecified:Gas, natural, in ground ",,This flow represents the amount of natural gas that is used for fuel.  The energy content of the natural gas used for fuel is 36.7 MJ per m3.,,,,,,,,,,,,,,
"resource->unspecified:Oil, crude, in ground ",,This flow represents the amount of crude oils that is a material input for producing the resin output.  The energy content of the crude oil used as EMR/feedstock is 43.7 MJ per kg.  The energy content multiplied by the mass should be considered an Energy of Material Resource (EMR)/feedstock energy. ,,,,,,,,,,,,,,
"resource->unspecified:Oil, crude, in ground",,This flow represents the amount of crude oil that is used for fuel.  The energy content of the crude oil used for fuel is 43.7 MJ per kg.,,,,,,,,,,,,,,
"resource->unspecified:Oxygen, in air",,,,,,,,,,,,,,,,
"resource->unspecified:Nitrogen, in air",,,,,,,,,,,,,,,,
"resource->unspecified:Salt, unspecified",,,,,,,,,,,,,,,,
"resource->unspecified:Uranium oxide, 332 GJ per kg, in ore",,,,,,,,,,,,,,,,
"Dummy_Disposal, solid waste, fuel, to municipal incineration",,,,,,,,,,,,,,,,
"Dummy_Disposal, solid waste,process, to municipal incineration",,,,,,,,,,,,,,,,
"Dummy_Disposal, solid waste, process, to sanitary landfill",,,,,,,,,,,,,,,,
"Dummy_Disposal, solid waste, process, to waste-to-energy",,,,,,,,,,,,,,,,
